MarketsType,RiskDate,Shock,Confidence_Interval,Contribution By,Description,Market_Value,Market_Value_(%),Standalone_Absolute_VaR,Standalone_Absolute_VaR_(%),Contribution_Absolute_VaR,Contribution_Absolute_VaR_(%),Evaluate_By,RptDateTime,DateKey,CalendarQuarter,CalendarYear,DateNo,QY,SortBy
Public Markets,12/31/2017,All Factors Shock,Lowest 18,Portfolio,Alternative Investments,2184309507,0.015683464,-332308913.1,-0.152134536,82472182.16,-0.004862661,DIM_Portfolio[Portfolio_Level_3],14:35.0,20171231,4,2017,43099,Q4'17,1
Public Markets,03/31/2018,All Factors Shock,Lowest 18,Portfolio,Alternative Investments,219944539.9,0.001539828,-34158776.11,-0.155306316,21207784.67,-0.001225746,DIM_Portfolio[Portfolio_Level_3],14:35.0,20180331,1,2018,43189,Q1'18,1
Public Markets,03/31/2018,All Factors Shock,Lowest 18,Portfolio,Segregated Assets,2519170540,0.017636667,-112580521.4,-0.04468952,25166465.39,-0.001454546,DIM_Portfolio[Portfolio_Level_3],14:35.0,20180331,1,2018,43189,Q1'18,2
Public Markets,12/31/2017,All Factors Shock,Lowest 18,Portfolio,Segregated Assets,1535338288,0.011023814,-133129186.5,-0.086710002,43372435.77,-0.002557292,DIM_Portfolio[Portfolio_Level_3],14:35.0,20171231,4,2017,43099,Q4'17,2
Public Markets,12/31/2017,All Factors Shock,Lowest 18,Portfolio,Fixed Income,27789172611,0.199527805,-1389743831,-0.050010263,115686955,-0.006821044,DIM_Portfolio[Portfolio_Level_3],14:35.0,20171231,4,2017,43099,Q4'17,3
Public Markets,03/31/2018,All Factors Shock,Lowest 18,Portfolio,Fixed Income,30080212213,0.210591021,-1469835081,-0.048863853,127425773.7,-0.007364824,DIM_Portfolio[Portfolio_Level_3],14:35.0,20180331,1,2018,43189,Q1'18,3
Public Markets,12/31/2017,All Factors Shock,Lowest 18,Portfolio,Equity,64167767993,0.460728144,-12356542580,-0.19256619,-12265684211,0.723199718,DIM_Portfolio[Portfolio_Level_3],14:35.0,20171231,4,2017,43099,Q4'17,4
Public Markets,03/31/2018,All Factors Shock,Lowest 18,Portfolio,Equity,64297818042,0.450147861,-12311904610,-0.191482464,-12189080437,0.704491978,DIM_Portfolio[Portfolio_Level_3],14:35.0,20180331,1,2018,43189,Q1'18,4
Private Markets,03/31/2018,All Factors Shock,Lowest 18,Portfolio,Mortgages,3357555762,0.023506187,-146681208.9,-0.043686902,-95356425.61,0.005511313,DIM_Portfolio[Portfolio_Level_3],14:35.0,20180331,1,2018,43189,Q1'18,1
Private Markets,12/31/2017,All Factors Shock,Lowest 18,Portfolio,Mortgages,3122410214,0.022419079,-118112562.1,-0.037827369,-29421385.91,0.001734721,DIM_Portfolio[Portfolio_Level_3],14:35.0,20171231,4,2017,43099,Q4'17,1
Private Markets,03/31/2018,All Factors Shock,Lowest 18,Portfolio,Real Estate,19199555960,0.134415744,-1863734241,-0.097071737,-1682589072,0.097248559,DIM_Portfolio[Portfolio_Level_3],14:35.0,20180331,1,2018,43189,Q1'18,2
Private Markets,12/31/2017,All Factors Shock,Lowest 18,Portfolio,Real Estate,17608973897,0.126433412,-1719451847,-0.09764634,-1500508615,0.08847182,DIM_Portfolio[Portfolio_Level_3],14:35.0,20171231,4,2017,43099,Q4'17,2
Private Markets,03/31/2018,All Factors Shock,Lowest 18,Portfolio,Infrastructure and Renewables,13624103522,0.095382102,-1643870357,-0.120658974,-1384193972,0.080002224,DIM_Portfolio[Portfolio_Level_3],14:35.0,20180331,1,2018,43189,Q1'18,3
Private Markets,12/31/2017,All Factors Shock,Lowest 18,Portfolio,Infrastructure and Renewables,13365584390,0.09596564,-1577253374,-0.118008561,-1303530374,0.076857743,DIM_Portfolio[Portfolio_Level_3],14:35.0,20171231,4,2017,43099,Q4'17,3
Private Markets,12/31/2017,All Factors Shock,Lowest 18,Portfolio,Private Equity,9501129924,0.068218641,-2142468411,-0.22549617,-2102687027,0.123976995,DIM_Portfolio[Portfolio_Level_3],14:35.0,20171231,4,2017,43099,Q4'17,4
Private Markets,03/31/2018,All Factors Shock,Lowest 18,Portfolio,Private Equity,9538746163,0.066780589,-2151779159,-0.225583019,-2124523670,0.122791042,DIM_Portfolio[Portfolio_Level_3],14:35.0,20180331,1,2018,43189,Q1'18,4
TF,12/31/2017,All Factors Shock,Lowest 18,Portfolio,BC IMC Total Plan,1.39E+11,1,-16960300040,-0.121775898,-16960300040,1,DIM_Portfolio[Portfolio_Level_1],14:34.0,20171231,4,2017,43099,Q4'17,0
TF,03/31/2018,All Factors Shock,Lowest 18,Portfolio,BC IMC Total Plan,1.43E+11,1,-17301943553,-0.121130594,-17301943553,1,DIM_Portfolio[Portfolio_Level_1],14:34.0,20180331,1,2018,43189,Q1'18,0
