TotalFundName,AssetClass,SubAssetClass,PoolFund,RiskPortfolioCode,PV,StandaloneAbsoluteVar,%GT PV,%GT StandaloneAbsoluteVar
BCI TOTAL FUND,BRIDGEWATER,BRIDGEWATER,BRIDGEWATER (E0400),E0400,1957.97,-296.92,1.39%,1.86%
BCI TOTAL FUND,EQUITY,ASIA,ACTIVE ASIAN EQUITY FUND (E0071N),E0071N,1.25,0.00,0.00%,0.00%
BCI TOTAL FUND,EQUITY,ASIA,ACTIVE ASIAN EQUITY FUND (E0071N),ME0017,1004.00,-199.71,0.71%,1.25%
BCI TOTAL FUND,EQUITY,ASIA,ACTIVE ASIAN EQUITY FUND (E0071N),ME0040,681.09,-120.39,0.48%,0.76%
BCI TOTAL FUND,EQUITY,ASIA,ACTIVE ASIAN EQUITY FUND (E0071N),ME0044,974.05,-195.70,0.69%,1.23%
BCI TOTAL FUND,EQUITY,CANADIAN EQUITY FUNDS,ACTIVE CANADIAN EQUITY FUND (E0060),AC5229,2709.75,-444.72,1.93%,2.79%
BCI TOTAL FUND,EQUITY,CANADIAN EQUITY FUNDS,ACTIVE CANADIAN EQUITY FUND (E0060),AC5230IN,1583.31,-283.61,1.13%,1.78%
BCI TOTAL FUND,EQUITY,CANADIAN EQUITY FUNDS,ACTIVE CANADIAN EQUITY FUND (E0060),E0060,45.35,-0.01,0.03%,0.00%
BCI TOTAL FUND,EQUITY,CANADIAN EQUITY FUNDS,ACTIVE CANADIAN SMALL CAP EQUITY FUND (E0053),AC053D,700.41,-115.05,0.50%,0.72%
BCI TOTAL FUND,EQUITY,CANADIAN EQUITY FUNDS,ACTIVE CANADIAN SMALL CAP EQUITY FUND (E0053),AC053EIN,206.18,-31.78,0.15%,0.20%
BCI TOTAL FUND,EQUITY,CANADIAN EQUITY FUNDS,ACTIVE CANADIAN SMALL CAP EQUITY FUND (E0053),E0053,8.62,0.00,0.01%,0.00%
BCI TOTAL FUND,EQUITY,CANADIAN EQUITY FUNDS,CANADIAN QUANTITATIVE ACTIVE EQUITY FUND (E0061),CE6103,0.00,0.00,0.00%,0.00%
