IssueRating,MV,Class
A,"111,682,792",Investment Grade
A-,"136,806,593",Investment Grade
A (high),"736,862,764",Investment Grade
A (low),"9,345,498",Investment Grade
A+,"2,430,750,980",Investment Grade
A1,"248,001,615",Investment Grade
A2,"120,375,807",Investment Grade
AA,"540,905,302",Investment Grade
AA-,"658,797,302",Investment Grade
AA (high),"23,077,691",Investment Grade
AA (low),"801,239,710",Investment Grade
Aa2,"123,434,100",Investment Grade
Aa3,"12,463,648",Investment Grade
AAA,"7,289,941,117",Investment Grade
B,"98,849,825",High Yield
B-,"11,584,149",High Yield
B+,"48,062,198",High Yield
Baa2,"85,318,050",Investment Grade
BB,"138,022,432",High Yield
BB-,"232,914,104",High Yield
BB+,"91,982,406",High Yield
BBB,"70,718,844",Investment Grade
BBB-,"23,621,720",Investment Grade
