RiskDate,Shock,Confidence_Interval,Contribution By,Description,Market_Value,Market_Value_(%),Standalone_Absolute_VaR,Standalone_Absolute_VaR_(%),Contribution_Absolute_VaR,Contribution_Absolute_VaR_(%),Evaluate_By,RptDateTime
09/30/2016,All Factors Shock,Lowest 18,Portfolio,BC IMC Total Plan,1.31E+11,1,-16781181957,-0.128329192,-16781181957,1,DIM_Portfolio[Portfolio_Level_1],15:10.0
03/31/2018,All Factors Shock,Lowest 18,Portfolio,BC IMC Total Plan,1.43E+11,1,-17301943553,-0.121130594,-17301943553,1,DIM_Portfolio[Portfolio_Level_1],15:10.0
12/31/2016,All Factors Shock,Lowest 18,Portfolio,BC IMC Total Plan,1.31E+11,1,-17329997657,-0.132325178,-17329997657,1,DIM_Portfolio[Portfolio_Level_1],15:10.0
09/30/2017,All Factors Shock,Lowest 18,Portfolio,BC IMC Total Plan,1.35E+11,1,-16636579204,-0.123391704,-16636579204,1,DIM_Portfolio[Portfolio_Level_1],15:10.0
06/30/2017,All Factors Shock,Lowest 18,Portfolio,BC IMC Total Plan,1.35E+11,1,-17253383092,-0.127802917,-17253383092,1,DIM_Portfolio[Portfolio_Level_1],15:10.0
12/31/2017,All Factors Shock,Lowest 18,Portfolio,BC IMC Total Plan,1.39E+11,1,-16960300040,-0.121775898,-16960300040,1,DIM_Portfolio[Portfolio_Level_1],15:10.0
03/31/2017,All Factors Shock,Lowest 18,Portfolio,BC IMC Total Plan,1.36E+11,1,-17525225289,-0.129028499,-17525225289,1,DIM_Portfolio[Portfolio_Level_1],15:10.0
09/30/2016,All Factors Shock,Lowest 18,Portfolio,Infrastructure and Renewables,11052623871,0.084521716,-1433550388,-0.129702268,-1206484406,0.071895079,DIM_Portfolio[Portfolio_Level_3],15:11.0
03/31/2018,All Factors Shock,Lowest 18,Portfolio,Infrastructure and Renewables,13624103522,0.095382102,-1643870357,-0.120658974,-1384193972,0.080002224,DIM_Portfolio[Portfolio_Level_3],15:11.0
12/31/2016,All Factors Shock,Lowest 18,Portfolio,Infrastructure and Renewables,12682051833,0.096835256,-1666136854,-0.131377546,-1404765312,0.081059752,DIM_Portfolio[Portfolio_Level_3],15:11.0
09/30/2017,All Factors Shock,Lowest 18,Portfolio,Infrastructure and Renewables,13466616354,0.099880433,-1587132918,-0.117856845,-1322717498,0.079506579,DIM_Portfolio[Portfolio_Level_3],15:11.0
06/30/2017,All Factors Shock,Lowest 18,Portfolio,Infrastructure and Renewables,12870781221,0.095339179,-1580232570,-0.122776741,-1321550490,0.0765966,DIM_Portfolio[Portfolio_Level_3],15:11.0
12/31/2017,All Factors Shock,Lowest 18,Portfolio,Infrastructure and Renewables,13365584390,0.09596564,-1577253374,-0.118008561,-1303530374,0.076857743,DIM_Portfolio[Portfolio_Level_3],15:11.0
03/31/2017,All Factors Shock,Lowest 18,Portfolio,Infrastructure and Renewables,13035397890,0.095972394,-1651546429,-0.126697048,-1376200618,0.078526843,DIM_Portfolio[Portfolio_Level_3],15:11.0
09/30/2016,All Factors Shock,Lowest 18,Portfolio,Alternative Investments,1530816476,0.011706472,-307987931,-0.201191936,48424918.13,-0.002885668,DIM_Portfolio[Portfolio_Level_3],15:11.0
03/31/2018,All Factors Shock,Lowest 18,Portfolio,Alternative Investments,219944539.9,0.001539828,-34158776.11,-0.155306316,21207784.67,-0.001225746,DIM_Portfolio[Portfolio_Level_3],15:11.0
12/31/2016,All Factors Shock,Lowest 18,Portfolio,Alternative Investments,1504940497,0.011491145,-310336680.7,-0.206211928,48577155.55,-0.002803068,DIM_Portfolio[Portfolio_Level_3],15:11.0
09/30/2017,All Factors Shock,Lowest 18,Portfolio,Alternative Investments,2023817592,0.015010436,-307892550.1,-0.152134536,90244290.77,-0.00542445,DIM_Portfolio[Portfolio_Level_3],15:11.0
